D:\Unity\IMG\center_2021_10_17_14_04_00_070.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_070.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_070.jpg,0,0,0,2.122464E-05
D:\Unity\IMG\center_2021_10_17_14_04_00_138.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_138.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_138.jpg,0,0,0,1.52996E-06
D:\Unity\IMG\center_2021_10_17_14_04_00_208.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_208.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_208.jpg,0,0,0,8.983539E-06
D:\Unity\IMG\center_2021_10_17_14_04_00_280.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_280.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_280.jpg,0,0,0,1.245597E-05
D:\Unity\IMG\center_2021_10_17_14_04_00_347.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_347.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_347.jpg,0,0.0981588,0,0.05697726
D:\Unity\IMG\center_2021_10_17_14_04_00_416.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_416.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_416.jpg,-0.1,0.324981,0,0.2609649
D:\Unity\IMG\center_2021_10_17_14_04_00_483.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_483.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_483.jpg,-0.25,0.5072115,0,0.5530008
D:\Unity\IMG\center_2021_10_17_14_04_00_553.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_553.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_553.jpg,-0.4,0.7002206,0,0.9793687
D:\Unity\IMG\center_2021_10_17_14_04_00_625.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_625.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_625.jpg,-0.6000001,0.9338579,0,1.81544
D:\Unity\IMG\center_2021_10_17_14_04_00_694.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_694.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_694.jpg,-0.7500002,1,0,2.493296
D:\Unity\IMG\center_2021_10_17_14_04_00_765.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_765.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_765.jpg,-0.9500002,1,0,3.394949
D:\Unity\IMG\center_2021_10_17_14_04_00_832.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_832.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_832.jpg,0,1,0,4.027818
D:\Unity\IMG\center_2021_10_17_14_04_00_904.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_904.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_904.jpg,0,1,0,4.958443
D:\Unity\IMG\center_2021_10_17_14_04_00_974.jpg,D:\Unity\IMG\left_2021_10_17_14_04_00_974.jpg,D:\Unity\IMG\right_2021_10_17_14_04_00_974.jpg,0,1,0,5.653587
D:\Unity\IMG\center_2021_10_17_14_04_01_046.jpg,D:\Unity\IMG\left_2021_10_17_14_04_01_046.jpg,D:\Unity\IMG\right_2021_10_17_14_04_01_046.jpg,0,1,0,6.574268
